대분류코드,대분류명,중분류코드,중분류명,소분류코드,소분류명,수집시간
A,요양급여비용산정기준(행위),00,일반원칙,A00000,산정방법 및 일반원칙,2025-07-25T23:04:40.420272
A,요양급여비용산정기준(행위),00,일반원칙,A00997,비급여,2025-07-25T23:04:40.420272
A,요양급여비용산정기준(행위),00,일반원칙,A00998,본인부담,2025-07-25T23:04:40.420272
A,요양급여비용산정기준(행위),00,일반원칙,A00999,기타,2025-07-25T23:04:40.421272
A,요양급여비용산정기준(행위),01,기본진료료,A01000,산정방법 및 일반원칙,2025-07-25T23:04:44.894487
A,요양급여비용산정기준(행위),01,기본진료료,A01001,외래환자 진찰료,2025-07-25T23:04:44.894487
A,요양급여비용산정기준(행위),01,기본진료료,A01002,입원료,2025-07-25T23:04:44.894487
A,요양급여비용산정기준(행위),01,기본진료료,A01003,응급의료관리료,2025-07-25T23:04:44.894487
A,요양급여비용산정기준(행위),01,기본진료료,A01004,무균치료실 입원료,2025-07-25T23:04:44.895487
A,요양급여비용산정기준(행위),01,기본진료료,A01005,회송료,2025-07-25T23:04:44.895487
A,요양급여비용산정기준(행위),02,검사료,A02000,산정방법 및 일반원칙,2025-07-25T23:04:49.378903
A,요양급여비용산정기준(행위),02,검사료,A020000,임상병리검사 종합검증료,2025-07-25T23:04:49.378903
A,요양급여비용산정기준(행위),02,검사료,A02001,요 일반검사 4종까지,2025-07-25T23:04:49.378903
A,요양급여비용산정기준(행위),02,검사료,A02001,요적혈구분포도검사,2025-07-25T23:04:49.378903
A,요양급여비용산정기준(행위),02,검사료,A02002,요 일반검사 7종까지,2025-07-25T23:04:49.379904
A,요양급여비용산정기준(행위),02,검사료,A02003,요 일반검사 10종까지,2025-07-25T23:04:49.379904
A,요양급여비용산정기준(행위),03,영상진단 및 방사선치료료,A03000,산정방법 및 일반원칙,2025-07-25T23:04:53.907112
A,요양급여비용산정기준(행위),03,영상진단 및 방사선치료료,A03101,C-Arm형 영상증폭장치 이용료,2025-07-25T23:04:53.907112
A,요양급여비용산정기준(행위),03,영상진단 및 방사선치료료,A03102,투시촬영,2025-07-25T23:04:53.907112
A,요양급여비용산정기준(행위),03,영상진단 및 방사선치료료,A03105,특수촬영[1건당],2025-07-25T23:04:53.907112
A,요양급여비용산정기준(행위),03,영상진단 및 방사선치료료,A03110,비골,2025-07-25T23:04:53.908113
A,요양급여비용산정기준(행위),03,영상진단 및 방사선치료료,A03111,두부,2025-07-25T23:04:53.908113
A,요양급여비용산정기준(행위),04,투약 및 조제료,A04000,산정방법 및 일반원칙,2025-07-25T23:04:58.377852
A,요양급여비용산정기준(행위),04,투약 및 조제료,A04001,퇴원환자조제료,2025-07-25T23:04:58.377852
A,요양급여비용산정기준(행위),04,투약 및 조제료,A040011,외래환자 조제 복약지도료,2025-07-25T23:04:58.378853
A,요양급여비용산정기준(행위),04,투약 및 조제료,A04002,입원 환자 처방조제 복약지도료[1일당],2025-07-25T23:04:58.378853
A,요양급여비용산정기준(행위),04,투약 및 조제료,A04003,원외처방료,2025-07-25T23:04:58.378853
A,요양급여비용산정기준(행위),04,투약 및 조제료,A04004,주사제 무균조제료[1일당],2025-07-25T23:04:58.378853
A,요양급여비용산정기준(행위),05,주사료,A05000,산정방법 및 일반원칙,2025-07-25T23:05:02.849836
A,요양급여비용산정기준(행위),05,주사료,A05001,전립선내 주사,2025-07-25T23:05:02.849836
A,요양급여비용산정기준(행위),05,주사료,A05001,피하 또는 근육내주사,2025-07-25T23:05:02.849836
A,요양급여비용산정기준(행위),05,주사료,A05002,정맥내 일시 주사[1일당],2025-07-25T23:05:02.849836
A,요양급여비용산정기준(행위),05,주사료,A05003,동맥주사,2025-07-25T23:05:02.849836
A,요양급여비용산정기준(행위),05,주사료,A050031,심장내주사,2025-07-25T23:05:02.849836
B,요양급여비용산정기준(약제),00,일반사항,B00000,산정방법 및 일반원칙,2025-07-25T23:05:11.749437
B,요양급여비용산정기준(약제),00,일반사항,B00997,비급여,2025-07-25T23:05:11.749437
B,요양급여비용산정기준(약제),00,일반사항,B00998,본인부담,2025-07-25T23:05:11.749437
B,요양급여비용산정기준(약제),00,일반사항,B00999,기타,2025-07-25T23:05:11.750438
B,요양급여비용산정기준(약제),01,약제료,B01000,산정방법 및 일반사항,2025-07-25T23:05:16.230075
B,요양급여비용산정기준(약제),01,약제료,B01100,신경계감각기관용 의약품,2025-07-25T23:05:16.230075
B,요양급여비용산정기준(약제),01,약제료,B01110,중추신경계용약,2025-07-25T23:05:16.230075
B,요양급여비용산정기준(약제),01,약제료,B01111,전신마취제,2025-07-25T23:05:16.230075
B,요양급여비용산정기준(약제),01,약제료,B01112,최면진정제,2025-07-25T23:05:16.230075
B,요양급여비용산정기준(약제),01,약제료,B01113,항전간제,2025-07-25T23:05:16.230075
B,요양급여비용산정기준(약제),02,의약분업,B02000,000 산정방법 및 일반원칙,2025-07-25T23:05:20.665300
B,요양급여비용산정기준(약제),02,의약분업,B02001,001 의약분업 대상 관련,2025-07-25T23:05:20.665300
B,요양급여비용산정기준(약제),02,의약분업,B02002,"002 임의, 대체 조제 관련",2025-07-25T23:05:20.665300
C,요양급여비용산정기준(치료재료),01,일반사항,C01001,A 핵의학검사용 군,2025-07-25T23:05:29.614057
C,요양급여비용산정기준(치료재료),01,일반사항,C01002,B 봉합용군,2025-07-25T23:05:29.614057
C,요양급여비용산정기준(치료재료),01,일반사항,C01003,C 골유합 및 골고정군용 군,2025-07-25T23:05:29.614057
C,요양급여비용산정기준(치료재료),01,일반사항,C01004,D 관절경수술 관련 연부조직 고정용 군,2025-07-25T23:05:29.615058
C,요양급여비용산정기준(치료재료),01,일반사항,C01005,E 인공관절군,2025-07-25T23:05:29.615058
C,요양급여비용산정기준(치료재료),01,일반사항,C01006,F 척추재료 군,2025-07-25T23:05:29.615058
C,요양급여비용산정기준(치료재료),02,검사료,C02001,A 핵의학검사용 군,2025-07-25T23:05:34.103893
C,요양급여비용산정기준(치료재료),02,검사료,C02002,B 봉합용군,2025-07-25T23:05:34.103893
C,요양급여비용산정기준(치료재료),02,검사료,C02003,C 골유합 및 골고정군용 군,2025-07-25T23:05:34.104893
C,요양급여비용산정기준(치료재료),02,검사료,C02004,D 관절경수술 관련 연부조직 고정용 군,2025-07-25T23:05:34.104893
C,요양급여비용산정기준(치료재료),02,검사료,C02005,E 인공관절군,2025-07-25T23:05:34.104893
C,요양급여비용산정기준(치료재료),02,검사료,C02006,F 척추재료 군,2025-07-25T23:05:34.104893
C,요양급여비용산정기준(치료재료),03,마취료,C03001,A 핵의학검사용 군,2025-07-25T23:05:38.571133
C,요양급여비용산정기준(치료재료),03,마취료,C03002,B 봉합용군,2025-07-25T23:05:38.571133
C,요양급여비용산정기준(치료재료),03,마취료,C03003,C 골유합 및 골고정군용 군,2025-07-25T23:05:38.571133
C,요양급여비용산정기준(치료재료),03,마취료,C03004,D 관절경수술 관련 연부조직 고정용 군,2025-07-25T23:05:38.572134
C,요양급여비용산정기준(치료재료),03,마취료,C03005,E 인공관절군,2025-07-25T23:05:38.572134
C,요양급여비용산정기준(치료재료),03,마취료,C03006,F 척추재료 군,2025-07-25T23:05:38.572134
C,요양급여비용산정기준(치료재료),04,처치 및 수술료 등,C04001,A 핵의학검사용 군,2025-07-25T23:05:43.035755
C,요양급여비용산정기준(치료재료),04,처치 및 수술료 등,C04002,B 봉합용군,2025-07-25T23:05:43.035755
C,요양급여비용산정기준(치료재료),04,처치 및 수술료 등,C04003,C 골유합 및 골고정군용 군,2025-07-25T23:05:43.035755
C,요양급여비용산정기준(치료재료),04,처치 및 수술료 등,C04004,D 관절경수술 관련 연부조직 고정용 군,2025-07-25T23:05:43.036756
C,요양급여비용산정기준(치료재료),04,처치 및 수술료 등,C04005,E 인공관절군,2025-07-25T23:05:43.036756
C,요양급여비용산정기준(치료재료),04,처치 및 수술료 등,C04006,F 척추재료 군,2025-07-25T23:05:43.036756
C,요양급여비용산정기준(치료재료),05,중재적 시술료,C05001,A 핵의학검사용 군,2025-07-25T23:05:47.500415
C,요양급여비용산정기준(치료재료),05,중재적 시술료,C05002,B 봉합용군,2025-07-25T23:05:47.500415
C,요양급여비용산정기준(치료재료),05,중재적 시술료,C05003,C 골유합 및 골고정군용 군,2025-07-25T23:05:47.500415
C,요양급여비용산정기준(치료재료),05,중재적 시술료,C05004,D 관절경수술 관련 연부조직 고정용 군,2025-07-25T23:05:47.500415
C,요양급여비용산정기준(치료재료),05,중재적 시술료,C05005,E 인공관절군,2025-07-25T23:05:47.500415
C,요양급여비용산정기준(치료재료),05,중재적 시술료,C05006,F 척추재료 군,2025-07-25T23:05:47.500415
C,요양급여비용산정기준(치료재료),06,내시경하 시술료,C06001,A 핵의학검사용 군,2025-07-25T23:05:52.016357
C,요양급여비용산정기준(치료재료),06,내시경하 시술료,C06002,B 봉합용군,2025-07-25T23:05:52.016357
C,요양급여비용산정기준(치료재료),06,내시경하 시술료,C06003,C 골유합 및 골고정군용 군,2025-07-25T23:05:52.016357
C,요양급여비용산정기준(치료재료),06,내시경하 시술료,C06004,D 관절경수술 관련 연부조직 고정용 군,2025-07-25T23:05:52.016357
C,요양급여비용산정기준(치료재료),06,내시경하 시술료,C06005,E 인공관절군,2025-07-25T23:05:52.016357
C,요양급여비용산정기준(치료재료),06,내시경하 시술료,C06006,F 척추재료 군,2025-07-25T23:05:52.017358
